"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 15:21:53 GMT 2021","Mon Aug 30 15:21:58 GMT 2021","4920","","org.mytests.tests.example.DataTableInteractTests","","org.mytests.tests.example.DataTableInteractTests","lineByIndexTest","lineByIndexTest()",""
"passed","Mon Aug 30 15:23:49 GMT 2021","Mon Aug 30 15:23:53 GMT 2021","3176","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","rowTableMatcherSingleTest","rowTableMatcherSingleTest()",""
"passed","Mon Aug 30 15:22:26 GMT 2021","Mon Aug 30 15:22:31 GMT 2021","4922","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","dataFilterTest","dataFilterTest()",""
"passed","Mon Aug 30 15:22:10 GMT 2021","Mon Aug 30 15:22:16 GMT 2021","6026","","org.mytests.tests.example.JDIPerformanceTests","","org.mytests.tests.example.JDIPerformanceTests","bigDropdownTest","bigDropdownTest()",""
"passed","Mon Aug 30 15:22:04 GMT 2021","Mon Aug 30 15:22:06 GMT 2021","2836","","org.mytests.tests.example.JDIPerformanceTests","","org.mytests.tests.example.JDIPerformanceTests","longTextTest","longTextTest()",""
"passed","Mon Aug 30 15:24:47 GMT 2021","Mon Aug 30 15:24:50 GMT 2021","2958","","org.mytests.tests.example.FormTests","","org.mytests.tests.example.FormTests","loginTest","loginTest()",""
"passed","Mon Aug 30 15:22:31 GMT 2021","Mon Aug 30 15:23:04 GMT 2021","32839","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","tableChainTest","tableChainTest()",""
"passed","Mon Aug 30 15:21:45 GMT 2021","Mon Aug 30 15:21:53 GMT 2021","7918","","org.mytests.tests.example.DataTableInteractTests","","org.mytests.tests.example.DataTableInteractTests","linesFilterTest","linesFilterTest()",""
"passed","Mon Aug 30 15:25:05 GMT 2021","Mon Aug 30 15:25:23 GMT 2021","18477","","org.mytests.tests.example.FormTests","","org.mytests.tests.example.FormTests","fillContactFormTest","fillContactFormTest()",""
"passed","Mon Aug 30 15:24:23 GMT 2021","Mon Aug 30 15:24:28 GMT 2021","4464","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","rowMatcherTest","rowMatcherTest()",""
"passed","Mon Aug 30 15:24:08 GMT 2021","Mon Aug 30 15:24:13 GMT 2021","4799","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","commonMatchersTest","commonMatchersTest()",""
"passed","Mon Aug 30 15:24:16 GMT 2021","Mon Aug 30 15:24:23 GMT 2021","7777","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","rowDataExactMatcherTest","rowDataExactMatcherTest()",""
"passed","Mon Aug 30 15:21:58 GMT 2021","Mon Aug 30 15:22:04 GMT 2021","5838","","org.mytests.tests.example.DataTableInteractTests","","org.mytests.tests.example.DataTableInteractTests","lineFilterTest","lineFilterTest()",""
"passed","Mon Aug 30 15:24:13 GMT 2021","Mon Aug 30 15:24:16 GMT 2021","3020","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","rowTableMatcherTest","rowTableMatcherTest()",""
"passed","Mon Aug 30 15:21:28 GMT 2021","Mon Aug 30 15:21:45 GMT 2021","16644","","org.mytests.tests.example.DataTableInteractTests","","org.mytests.tests.example.DataTableInteractTests","lineByNameTest","lineByNameTest()",""
"passed","Mon Aug 30 15:24:50 GMT 2021","Mon Aug 30 15:25:05 GMT 2021","14492","","org.mytests.tests.example.FormTests","","org.mytests.tests.example.FormTests","fillContactsTest","fillContactsTest()",""
"passed","Mon Aug 30 15:23:53 GMT 2021","Mon Aug 30 15:24:00 GMT 2021","7633","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","noRowsTest","noRowsTest()",""
"passed","Mon Aug 30 15:23:27 GMT 2021","Mon Aug 30 15:23:31 GMT 2021","4350","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","dataColumnTestIndex","dataColumnTestIndex()",""
"passed","Mon Aug 30 15:24:28 GMT 2021","Mon Aug 30 15:24:34 GMT 2021","6139","","org.mytests.tests.example.MenuTests","","org.mytests.tests.example.MenuTests","menuTest","menuTest()",""
"passed","Mon Aug 30 15:23:04 GMT 2021","Mon Aug 30 15:23:09 GMT 2021","5438","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","rowDataMatcherTest","rowDataMatcherTest()",""
"passed","Mon Aug 30 15:22:06 GMT 2021","Mon Aug 30 15:22:10 GMT 2021","3573","","org.mytests.tests.example.JDIPerformanceTests","","org.mytests.tests.example.JDIPerformanceTests","hugeTableValidateTest","hugeTableValidateTest()",""
"passed","Mon Aug 30 15:22:16 GMT 2021","Mon Aug 30 15:22:21 GMT 2021","4654","","org.mytests.tests.example.JDIPerformanceTests","","org.mytests.tests.example.JDIPerformanceTests","hugeTableSearchTest","hugeTableSearchTest()",""
"passed","Mon Aug 30 15:23:09 GMT 2021","Mon Aug 30 15:23:12 GMT 2021","2724","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","previewTest","previewTest()",""
"passed","Mon Aug 30 15:24:34 GMT 2021","Mon Aug 30 15:24:47 GMT 2021","13359","","org.mytests.tests.example.MenuTests","","org.mytests.tests.example.MenuTests","customMenuTest","customMenuTest()",""
"passed","Mon Aug 30 15:22:21 GMT 2021","Mon Aug 30 15:22:26 GMT 2021","5113","","org.mytests.tests.example.DataTableTests","","org.mytests.tests.example.DataTableTests","dataColumnNameTest","dataColumnNameTest()",""
